system:index,aspect,aspect_northness,elevation,slope,twi,.geo
0000000000000000025b,159.8674381223276,105.6015592130577,111.72795040436695,21.978711851241844,1.0116459328060257,"{""type"":""Point"",""coordinates"":[128.99307593362977,37.597985175482805]}"
000000000000000002fa,165.99809627020682,139.45438815135924,534.4108841325749,18.195141334778274,1.1896723654718646,"{""type"":""Point"",""coordinates"":[129.01418531801679,37.25417064785791]}"
000000000000000002fe,181.17212599838464,97.75648568608095,234.53746028897075,14.938063358162072,1.427526302593656,"{""type"":""Point"",""coordinates"":[128.80429989053215,37.72251449060238]}"
0000000000000000034b,176.7346794318505,108.34249311120652,343.27615484346273,22.529062943528135,0.9480213900772031,"{""type"":""Point"",""coordinates"":[129.1937310219338,37.27477615382588]}"
00000000000000000368,170.57525900143438,86.16247958061517,84.27968240071466,13.704110213073394,1.5301989216301661,"{""type"":""Point"",""coordinates"":[128.46800786638443,38.35745480780465]}"
00000000000000000426,179.45235344405123,66.8620233287668,594.1983803640603,23.210406017834593,0.904355500131297,"{""type"":""Point"",""coordinates"":[128.1349709860057,37.986622586896935]}"
00000000000000000539,136.4976483164084,105.74275075717097,118.8567753429539,8.576924995546065,2.1322665621658086,"{""type"":""Point"",""coordinates"":[128.47597627996691,38.26969523997178]}"
00000000000000000427,135.298823764382,87.78400490752033,129.33777364062402,7.274838971988612,2.2896993589599544,"{""type"":""Point"",""coordinates"":[128.50278885460128,38.20570713985484]}"
00000000000000000429,146.82631359316193,85.92841519832503,120.56525696278116,14.56774636841764,1.5959799258868463,"{""type"":""Point"",""coordinates"":[129.01081423762037,37.569219514587026]}"
00000000000000000195,167.01874968720742,92.36563141225015,161.48713081526296,11.68713224517228,1.7063648824829867,"{""type"":""Point"",""coordinates"":[128.6254676427837,38.03518665647001]}"
00000000000000000284,145.57056183065453,89.8800418525092,56.71491370598253,9.347111569790489,1.9316638124441963,"{""type"":""Point"",""coordinates"":[128.59936406521683,38.11211506784406]}"
00000000000000000022,201.23654924243783,108.71178216422474,158.86677707274123,9.145203315081297,2.059205025708354,"{""type"":""Point"",""coordinates"":[127.64014900120587,37.01726306798938]}"
000000000000000001ce,204.64196408192257,77.65882898517117,285.9794541640551,15.970313422723962,1.3185789351592623,"{""type"":""Point"",""coordinates"":[127.65279947089451,37.0420601289476]}"
0000000000000000024a,167.44112471694584,74.04813725065985,184.04338482396565,14.979829229948225,1.4722852778175683,"{""type"":""Point"",""coordinates"":[127.42950552654214,37.39357552409178]}"
00000000000000000153,210.46131805157586,83.1766071926202,320.0195606971112,15.260412721777232,1.3896737829844923,"{""type"":""Point"",""coordinates"":[128.03742369136052,38.07468537360144]}"
0000000000000000014c,155.75099344362872,112.29980951565616,289.1255662807039,7.326356041635455,2.3888570165119476,"{""type"":""Point"",""coordinates"":[128.03440487994735,38.19257062815139]}"
0000000000000000033e,220.11125322009693,105.23366219687607,461.28632504954675,28.437795515233642,0.6710666541666254,"{""type"":""Point"",""coordinates"":[128.20529100961855,37.03020783834754]}"
00000000000000000001,205.4759033311751,123.21345347604806,309.24353859120527,26.695962003841572,0.7705792459984092,"{""type"":""Point"",""coordinates"":[128.5200277392739,37.150817603641144]}"
00000000000000000130,143.73568041581265,111.01586936935324,108.09945546633548,14.441528140221903,1.7925544120178492,"{""type"":""Point"",""coordinates"":[127.52091263903671,37.72793229838232]}"
00000000000000000131,193.4561101610758,63.89390077329292,266.4860667462547,22.926761239993297,0.9917291853653635,"{""type"":""Point"",""coordinates"":[127.6656996502421,37.81886228706419]}"
00000000000000000139,188.0600105739211,101.10828623889917,258.5136460737175,20.5962012474369,1.0756457864922133,"{""type"":""Point"",""coordinates"":[127.67080532094829,38.08262703257762]}"
00000000000000000147,191.34266794577448,72.33667122977589,298.8768247945702,18.316848652086264,1.1875658006991363,"{""type"":""Point"",""coordinates"":[128.83046589551375,37.65706380533991]}"
00000000000000000164,164.23479904119915,86.89617872848152,484.53503159684647,28.02444513508589,0.6804888082767644,"{""type"":""Point"",""coordinates"":[127.19159910803764,38.08340737526198]}"
0000000000000000017a,168.11876560392562,107.74504620196868,204.9284551037393,16.441609033776245,1.315897746877161,"{""type"":""Point"",""coordinates"":[127.15820490024836,37.77628233110484]}"
00000000000000000230,96.75960114874864,80.83006011309106,258.01524767663784,12.054772479977172,1.9045941543459135,"{""type"":""Point"",""coordinates"":[127.22068582420928,38.17835947309405]}"
00000000000000000239,194.8274741038154,74.34124575605328,114.90230813035674,21.690236940177474,1.0318947039108437,"{""type"":""Point"",""coordinates"":[129.13100484741497,37.42463316292904]}"
000000000000000005e2,200.58216758513504,88.02945620156311,149.48793310217647,10.608225272913714,1.793510470777807,"{""type"":""Point"",""coordinates"":[127.54992800959151,37.028865648930456]}"
0000000000000000060d,220.66651666948667,92.32093036650913,368.8362390787053,19.48241253064442,1.0958303633724542,"{""type"":""Point"",""coordinates"":[128.1254998553682,37.51391774332218]}"
000000000000000001a7,163.96480451564688,126.70261764610343,442.1975054226018,17.933362446360444,1.2576344272795754,"{""type"":""Point"",""coordinates"":[128.18000344754444,37.32782161995768]}"
00000000000000000030,204.85233416557404,74.09264814182819,312.237303540316,21.255872685143615,1.0078025164097735,"{""type"":""Point"",""coordinates"":[127.88714752675835,37.67382110709876]}"
0000000000000000013f,122.8155088795378,87.09049639825975,222.5767562941302,9.346776264175165,2.2686003033891327,"{""type"":""Point"",""coordinates"":[127.20851693743441,38.20929671620285]}"
