system:index,fire_year,prec_annual,ta_annual,vpd_annual,ws_annual,.geo
0000000000000000025b,2017,82.65458885692499,12.316452047954044,6.488359287683352,1.5032809902739988,"{""type"":""Point"",""coordinates"":[128.99307593362977,37.597985175482805]}"
000000000000000002fa,2017,80.05389151581137,9.868042177171333,6.193109012400839,1.4297914119861965,"{""type"":""Point"",""coordinates"":[129.01418531801679,37.25417064785791]}"
000000000000000002fe,2017,86.00949252628914,11.87114478207593,6.21091652642383,1.5718120158916467,"{""type"":""Point"",""coordinates"":[128.80429989053215,37.72251449060238]}"
0000000000000000034b,2018,129.67834233036422,12.105383351118746,6.044446391752842,1.4506777505312964,"{""type"":""Point"",""coordinates"":[129.1937310219338,37.27477615382588]}"
00000000000000000368,2018,-9999000,-10272.15,0.0,14140.721410168577,"{""type"":""Point"",""coordinates"":[128.46800786638443,38.35745480780465]}"
00000000000000000426,2019,76.98361355215089,10.052693919457624,6.2099853491394015,0.870414176999307,"{""type"":""Point"",""coordinates"":[128.1349709860057,37.986622586896935]}"
00000000000000000539,2020,132.8162044188689,11.823151806530348,5.694265298581513,1.4428989779612382,"{""type"":""Point"",""coordinates"":[128.47597627996691,38.26969523997178]}"
00000000000000000427,2019,85.80721678896393,12.06653328260927,6.56054708401723,1.404129609719236,"{""type"":""Point"",""coordinates"":[128.50278885460128,38.20570713985484]}"
00000000000000000429,2019,98.14900855188324,12.599470783437539,6.523406021602739,1.2505093514552632,"{""type"":""Point"",""coordinates"":[129.01081423762037,37.569219514587026]}"
00000000000000000195,2011,127.50169998224544,9.969239671679816,5.2083818516303495,1.169814069125117,"{""type"":""Point"",""coordinates"":[128.6254676427837,38.03518665647001]}"
00000000000000000284,2011,126.58606926168966,9.84155622076355,5.199833884343377,1.164905728826987,"{""type"":""Point"",""coordinates"":[128.59936406521683,38.11211506784406]}"
00000000000000000022,2011,131.43756464934313,10.794107924434513,5.933220407213639,0.5924195453301454,"{""type"":""Point"",""coordinates"":[127.64014900120587,37.01726306798938]}"
000000000000000001ce,2011,132.41158130491945,10.786213956190636,5.90954626506192,0.5887839347092944,"{""type"":""Point"",""coordinates"":[127.65279947089451,37.0420601289476]}"
0000000000000000024a,2011,143.07499529114943,10.442803341070771,5.767994356234908,0.5586355667710068,"{""type"":""Point"",""coordinates"":[127.42950552654214,37.39357552409178]}"
00000000000000000153,2011,129.48407130199757,8.35740398308576,4.734663068783675,0.7065844316145923,"{""type"":""Point"",""coordinates"":[128.03742369136052,38.07468537360144]}"
0000000000000000014c,2011,130.9361135720762,7.55203175917319,4.746200846902923,0.7657634981225396,"{""type"":""Point"",""coordinates"":[128.03440487994735,38.19257062815139]}"
0000000000000000033e,2011,136.908592745724,10.117531215345991,5.507263683560097,0.6286379742265067,"{""type"":""Point"",""coordinates"":[128.20529100961855,37.03020783834754]}"
00000000000000000001,2011,133.42814385459786,8.696207258388256,5.16173692011688,0.5876839473657864,"{""type"":""Point"",""coordinates"":[128.5200277392739,37.150817603641144]}"
